組織コード,LOB,賦課部門コード,備考,経企スタッフ使用欄
X3531,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X3532,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X3533,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X354D,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X354F,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
X3560,CSOL,O73Q9Y(島根銀行) or O52JNT(Flight21),依頼者名で判断。島根銀行担当者は、古澤 研吾 /岡田 孝之/灰野 寛。この3名以外は全てFlight21担当者,
YD202,D&I,O72QVY,,
YD20F,D&I,O72QVY,,
YD223,D&I,O72QVY,,
YD224,D&I,O72QVY,,
YD230,D&I,O72QVY,,
YD241,D&I,O72QVY,,
YD245,D&I,O72QVY,,
YD246,D&I,O72QVY,,
YD247,D&I,O72QVY,,
YD248,D&I,O72QVY,,
YD249,D&I,O72QVY,,
YD250,D&I,O72QVY,,
6B421,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C100,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C300,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C41B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C50B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C52B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C600,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6C61B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6E40A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F000,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F00H,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F100,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F10H,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F110,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F11H,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F120,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6F12H,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6S21A,ex.SO Expense,契約なし,ただし、Post-Salesの場合のみex.SO Cost/5YNRD0 にて請求可能。不明な場合事前にISE SysService/Japan/IBMに問合せてください。,
6V51A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V52A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V53A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V55A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V57A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V82A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V83A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V84A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6V86A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y00C,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y00E,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y00F,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y100,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y110,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y11A,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y11F,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y120,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y121,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y122,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y31B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y320,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y32B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y33B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y340,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y34B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y350,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y35B,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y360,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
6Y370,ex.SO Expense,契約なし,TCT以外のセールス活動(Pre)はB&P申請、TCTのPreおよびデリバリー関連作業(Post)はDelivery部門から依頼をあげてもらうように依頼。,
YE100,exa,O28HT4,,G1AAH0(exa Internal)
YE108,exa,O28HT4,,G1AAH0(exa Internal)
YE117,exa,O28HT4,,G1AAH0(exa Internal)
YE125,exa,O28HT4,,G1AAH0(exa Internal)
YE129,exa,O28HT4,,G1AAH0(exa Internal)
YE131,exa,O28HT4,,G1AAH0(exa Internal)
YE133,exa,O28HT4,,G1AAH0(exa Internal)
YE135,exa,O28HT4,,G1AAH0(exa Internal)
YE136,exa,O28HT4,,G1AAH0(exa Internal)
YE138,exa,O28HT4,,G1AAH0(exa Internal)
YE140,exa,O28HT4,,G1AAH0(exa Internal)
YE142,exa,O28HT4,,G1AAH0(exa Internal)
YE144,exa,O28HT4,,G1AAH0(exa Internal)
YE145,exa,O28HT4,,G1AAH0(exa Internal)
YE147,exa,O28HT4,,G1AAH0(exa Internal)
YE148,exa,O28HT4,,G1AAH0(exa Internal)
YE154,exa,2015/12/31までは、CP1AF0,,G1AAH0(exa Internal)
YE158,exa,O28HT4,,G1AAH0(exa Internal)
YE159,exa,O28HT4,,G1AAH0(exa Internal)
YE160,exa,O28HT4,,G1AAH0(exa Internal)
YE161,exa,O28HT4,,G1AAH0(exa Internal)
YE163,exa,O28HT4,,G1AAH0(exa Internal)
YE164,exa,O28HT4,,G1AAH0(exa Internal)
YE165,exa,O28HT4,,G1AAH0(exa Internal)
YE166,exa,O28HT4,,
YE170,exa,O28HT4,,G1AAH0(exa Internal)
YE1F0,exa,O28HT4,,G1AAH0(exa Internal)
47100,GBS,ZA3R50,,
47110,GBS,ZA3R50,,
47120,GBS,ZA3R50,,
47130,GBS,ZA3R50,,
47131,GBS,ZA3R50,,
47132,GBS,ZA3R50,,
47133,GBS,ZA3R50,,
47134,GBS,ZA3R50,,
47135,GBS,ZA3R50,,
47136,GBS,ZA3R50,,
47137,GBS,ZA3R50,,
47138,GBS,ZA3R50,,
47140,GBS,ZA3R50,,
47141,GBS,ZA3R50,,
47142,GBS,ZA3R50,,
47143,GBS,ZA3R50,,
47144,GBS,ZA3R50,,
47145,GBS,ZA3R50,,
47146,GBS,ZA3R50,,
47147,GBS,ZA3R50,,
47148,GBS,ZA3R50,,
47150,GBS,ZA3R50,,
47151,GBS,ZA3R50,,
47152,GBS,ZA3R50,,
47160,GBS,ZA3R50,,
47161,GBS,ZA3R50,,
47162,GBS,ZA3R50,,
47163,GBS,ZA3R50,,
47212,GBS,ZA3R50,,
47213,GBS,ZA3R50,,
47230,GBS,ZA3R50,,
47231,GBS,ZA3R50,,
47232,GBS,ZA3R50,,
47233,GBS,ZA3R50,,
47240,GBS,ZA3R50,,
47241,GBS,ZA3R50,,
47242,GBS,ZA3R50,,
47243,GBS,ZA3R50,,
47244,GBS,ZA3R50,,
47250,GBS,ZA3R50,,
47251,GBS,ZA3R50,,
75800,GBS,ZA3R50,,
75840,GBS,ZA3R50,,
75850,GBS,ZA3R50,,
78000,GBS,ZA3R50,,
78100,GBS,ZA3R50,,
78110,GBS,ZA3R50,,
78120,GBS,ZA3R50,,
78130,GBS,ZA3R50,,
78210,GBS,ZA3R50,,
78220,GBS,ZA3R50,,
78230,GBS,ZA3R50,,
84812,GBS,ZA3R50,,
40000,GBS,ZA3R50,,
40300,GBS,ZA3R50,,
43100,GBS,ZA3R50,,
47000,GBS,ZA3R50,,
4710W,GBS,ZA3R50,,
471AU,GBS,ZA3R50,,
471AX,GBS,ZA3R50,,
471AY,GBS,ZA3R50,,
471BU,GBS,ZA3R50,,
471BY,GBS,ZA3R50,,
471CU,GBS,ZA3R50,,
471CY,GBS,ZA3R50,,
471DU,GBS,ZA3R50,,
471DY,GBS,ZA3R50,,
471EU,GBS,ZA3R50,,
471EY,GBS,ZA3R50,,
47200,GBS,ZA3R50,,
47211,GBS,ZA3R50,,
47252,GBS,ZA3R50,,
4728U,GBS,ZA3R50,,
4728X,GBS,ZA3R50,,
4728Y,GBS,ZA3R50,,
4729U,GBS,ZA3R50,,
4729X,GBS,ZA3R50,,
4729Y,GBS,ZA3R50,,
4749X,GBS,ZA3R50,,
47A00,GBS,ZA3R50,,
47A11,GBS,ZA3R50,,
47A12,GBS,ZA3R50,,
47A13,GBS,ZA3R50,,
47A14,GBS,ZA3R50,,
47A15,GBS,ZA3R50,,
47A1C,GBS,ZA3R50,,
47A20,GBS,ZA3R50,,
47A30,GBS,ZA3R50,,
47A40,GBS,ZA3R50,,
47B00,GBS,ZA3R50,,
47B11,GBS,ZA3R50,,
47B12,GBS,ZA3R50,,
47C00,GBS,ZA3R50,,
47C11,GBS,ZA3R50,,
47C12,GBS,ZA3R50,,
47C13,GBS,ZA3R50,,
47C14,GBS,ZA3R50,,
47C15,GBS,ZA3R50,,
47C16,GBS,ZA3R50,,
47C17,GBS,ZA3R50,,
47C18,GBS,ZA3R50,,
47C19,GBS,ZA3R50,,
47D00,GBS,ZA3R50,,
47D11,GBS,ZA3R50,,
47D12,GBS,ZA3R50,,
47D13,GBS,ZA3R50,,
47D14,GBS,ZA3R50,,
47D15,GBS,ZA3R50,,
47D16,GBS,ZA3R50,,
47D17,GBS,ZA3R50,,
47D18,GBS,ZA3R50,,
47D19,GBS,ZA3R50,,
47D20,GBS,ZA3R50,,
47D21,GBS,ZA3R50,,
47D22,GBS,ZA3R50,,
47D23,GBS,ZA3R50,,
47E00,GBS,ZA3R50,,
47E11,GBS,ZA3R50,,
47E12,GBS,ZA3R50,,
47E13,GBS,ZA3R50,,
47F00,GBS,ZA3R50,,
47F11,GBS,ZA3R50,,
47F12,GBS,ZA3R50,,
47F13,GBS,ZA3R50,,
47F14,GBS,ZA3R50,,
47F15,GBS,ZA3R50,,
47G00,GBS,ZA3R50,,
4A340,GBS,ZA3R50,,
4A500,GBS,ZA3R50,,
4A600,GBS,ZA3R50,,
4A610,GBS,ZA3R50,,
4A620,GBS,ZA3R50,,
4A700,GBS,ZA3R50,,
4A70A,GBS,ZA3R50,,
4A800,GBS,ZA3R50,,
4A900,GBS,ZA3R50,,
4A90A,GBS,ZA3R50,,
4B200,GBS,ZA3R50,,
4B210,GBS,ZA3R50,,
4B220,GBS,ZA3R50,,
4B230,GBS,ZA3R50,,
4C000,GBS,ZA3R50,,
4C100,GBS,ZA3R50,,
4C110,GBS,ZA3R50,,
4D000,GBS,ZA3R50,,
4D100,GBS,ZA3R50,,
4F000,GBS,ZA3R50,,
4F00A,GBS,ZA3R50,,
4F00B,GBS,ZA3R50,,
4F00D,GBS,ZA3R50,,
4F10B,GBS,ZA3R50,,
4F11B,GBS,ZA3R50,,
4F12B,GBS,ZA3R50,,
4F13B,GBS,ZA3R50,,
4F14B,GBS,ZA3R50,,
4F20B,GBS,ZA3R50,,
4F30B,GBS,ZA3R50,,
4F31B,GBS,ZA3R50,,
4F32B,GBS,ZA3R50,,
4G100,GBS,ZA3R50,,
4G110,GBS,ZA3R50,,
4G111,GBS,ZA3R50,,
4G112,GBS,ZA3R50,,
4G113,GBS,ZA3R50,,
4G114,GBS,ZA3R50,,
4G11K,GBS,ZA3R50,,
4G11X,GBS,ZA3R50,,
4G120,GBS,ZA3R50,,
4G121,GBS,ZA3R50,,
4G122,GBS,ZA3R50,,
4G123,GBS,ZA3R50,,
4G124,GBS,ZA3R50,,
4G12K,GBS,ZA3R50,,
4G130,GBS,ZA3R50,,
4G131,GBS,ZA3R50,,
4G132,GBS,ZA3R50,,
4G200,GBS,ZA3R50,,
4G210,GBS,ZA3R50,,
4G211,GBS,ZA3R50,,
4G212,GBS,ZA3R50,,
4G220,GBS,ZA3R50,,
4G221,GBS,ZA3R50,,
4G222,GBS,ZA3R50,,
4G223,GBS,ZA3R50,,
4G230,GBS,ZA3R50,,
4G240,GBS,ZA3R50,,
4G250,GBS,ZA3R50,,
4G400,GBS,ZA3R50,,
4G410,GBS,ZA3R50,,
4G420,GBS,ZA3R50,,
4G430,GBS,ZA3R50,,
4G440,GBS,ZA3R50,,
4G450,GBS,ZA3R50,,
4G500,GBS,ZA3R50,,
4G646,GBS,ZA3R50,,
4GA00,GBS,ZA3R50,,
4H000,GBS,ZA3R50,,
4H0S0,GBS,ZA3R50,,
4H100,GBS,ZA3R50,,
4H110,GBS,ZA3R50,,
4H120,GBS,ZA3R50,,
4H130,GBS,ZA3R50,,
4H200,GBS,ZA3R50,,
4H210,GBS,ZA3R50,,
4H220,GBS,ZA3R50,,
4H230,GBS,ZA3R50,,
4H300,GBS,ZA3R50,,
4H310,GBS,ZA3R50,,
4H311,GBS,ZA3R50,,
4H312,GBS,ZA3R50,,
4H330,GBS,ZA3R50,,
4H331,GBS,ZA3R50,,
4H332,GBS,ZA3R50,,
4H340,GBS,ZA3R50,,
4H341,GBS,ZA3R50,,
4H342,GBS,ZA3R50,,
4H343,GBS,ZA3R50,,
4H34U,GBS,ZA3R50,,
4H34V,GBS,ZA3R50,,
4H34Y,GBS,ZA3R50,,
4H390,GBS,ZA3R50,,
4H391,GBS,ZA3R50,,
4H400,GBS,ZA3R50,,
4H410,GBS,ZA3R50,,
4H420,GBS,ZA3R50,,
4H430,GBS,ZA3R50,,
4H440,GBS,ZA3R50,,
4H500,GBS,ZA3R50,,
4H540,GBS,ZA3R50,,
4H550,GBS,ZA3R50,,
4H560,GBS,ZA3R50,,
4H570,GBS,ZA3R50,,
4H600,GBS,ZA3R50,,
4H610,GBS,ZA3R50,,
4H630,GBS,ZA3R50,,
4H640,GBS,ZA3R50,,
4H700,GBS,ZA3R50,,
4H710,GBS,ZA3R50,,
4H720,GBS,ZA3R50,,
4H730,GBS,ZA3R50,,
4H800,GBS,ZA3R50,,
4H80A,GBS,ZA3R50,,
4H900,GBS,ZA3R50,,
4H910,GBS,ZA3R50,,
4H911,GBS,ZA3R50,,
4H912,GBS,ZA3R50,,
4H913,GBS,ZA3R50,,
4H920,GBS,ZA3R50,,
4H930,GBS,ZA3R50,,
4H940,GBS,ZA3R50,,
4H950,GBS,ZA3R50,,
4HS00,GBS,ZA3R50,,
4J010,GBS,ZA3R50,,
4L000,GBS,ZA3R50,,
4L00H,GBS,ZA3R50,,
4L00U,GBS,ZA3R50,,
4L00Y,GBS,ZA3R50,,
4L100,GBS,ZA3R50,,
4L10P,GBS,ZA3R50,,
4L11P,GBS,ZA3R50,,
4L12P,GBS,ZA3R50,,
4L13P,GBS,ZA3R50,,
4L14P,GBS,ZA3R50,,
4L15P,GBS,ZA3R50,,
4L16P,GBS,ZA3R50,,
4L17P,GBS,ZA3R50,,
4L300,GBS,ZA3R50,,
4L31S,GBS,ZA3R50,,
4L32S,GBS,ZA3R50,,
4L33S,GBS,ZA3R50,,
4L34S,GBS,ZA3R50,,
4L35A,GBS,ZA3R50,,
4L40S,GBS,ZA3R50,,
4L41S,GBS,ZA3R50,,
4L42S,GBS,ZA3R50,,
4LP00,GBS,ZA3R50,,
4M00P,GBS,ZA3R50,,
4M10P,GBS,ZA3R50,,
4M20P,GBS,ZA3R50,,
4M30P,GBS,ZA3R50,,
4M40P,GBS,ZA3R50,,
4Q000,GBS,ZA3R50,,
4Q510,GBS,ZA3R50,,
4Q550,GBS,ZA3R50,,
4Q55A,GBS,ZA3R50,,
4W000,GBS,ZA3R50,,
4W100,GBS,ZA3R50,,
4W110,GBS,ZA3R50,,
4W120,GBS,ZA3R50,,
4W130,GBS,ZA3R50,,
4W140,GBS,ZA3R50,,
4W15B,GBS,ZA3R50,,
4W20P,GBS,ZA3R50,,
4W21P,GBS,ZA3R50,,
4W22P,GBS,ZA3R50,,
4W23P,GBS,ZA3R50,,
4W24P,GBS,ZA3R50,,
4W25P,GBS,ZA3R50,,
4W26P,GBS,ZA3R50,,
4W30P,GBS,ZA3R50,,
4W31P,GBS,ZA3R50,,
4W32P,GBS,ZA3R50,,
4W40P,GBS,ZA3R50,,
4W41P,GBS,ZA3R50,,
4W42P,GBS,ZA3R50,,
4W43P,GBS,ZA3R50,,
4W50P,GBS,ZA3R50,,
4W51P,GBS,ZA3R50,,
4W52P,GBS,ZA3R50,,
4Y003,GBS,ZA3R50,,
4Y210,GBS,ZA3R50,,
4Y21N,GBS,ZA3R50,,
4Y220,GBS,ZA3R50,,
4Y22N,GBS,ZA3R50,,
4Y230,GBS,ZA3R50,,
4Y300,GBS,ZA3R50,,
4Y310,GBS,ZA3R50,,
4Y320,GBS,ZA3R50,,
4Y330,GBS,ZA3R50,,
4Y340,GBS,ZA3R50,,
4Y350,GBS,ZA3R50,,
4Y360,GBS,ZA3R50,,
4Y370,GBS,ZA3R50,,
4Z30D,GBS,ZA3R50,,
4Z31D,GBS,ZA3R50,,
4Z32D,GBS,ZA3R50,,
51000,GBS,ZA3R50,,
5100F,GBS,ZA3R50,,
5L200,GBS,ZA3R50,,
5L20F,GBS,ZA3R50,,
5L500,GBS,ZA3R50,,
5L50A,GBS,ZA3R50,,
5L50E,GBS,ZA3R50,,
5LA0E,GBS,ZA3R50,,
5LA0F,GBS,ZA3R50,,
5LP00,GBS,ZA3R50,,
6Z100,GBS,ZA3R50,,
6Z110,GBS,ZA3R50,,
6Z120,GBS,ZA3R50,,
6Z130,GBS,ZA3R50,,
6Z140,GBS,ZA3R50,,
6Z150,GBS,ZA3R50,,
70000,GBS,ZA3R50,,
71000,GBS,ZA3R50,,
71100,GBS,ZA3R50,,
71110,GBS,ZA3R50,,
71210,GBS,ZA3R50,,
71220,GBS,ZA3R50,,
71230,GBS,ZA3R50,,
71510,GBS,ZA3R50,,
7151H,GBS,ZA3R50,,
71520,GBS,ZA3R50,,
71530,GBS,ZA3R50,,
71A00,GBS,ZA3R50,,
71A10,GBS,ZA3R50,,
71A1R,GBS,ZA3R50,,
71A20,GBS,ZA3R50,,
71A2W,GBS,ZA3R50,,
71A30,GBS,ZA3R50,,
71A3B,GBS,ZA3R50,,
71A40,GBS,ZA3R50,,
71A50,GBS,ZA3R50,,
71B00,GBS,ZA3R50,,
71B10,GBS,ZA3R50,,
71B20,GBS,ZA3R50,,
71B30,GBS,ZA3R50,,
71C00,GBS,ZA3R50,,
71C10,GBS,ZA3R50,,
71C1W,GBS,ZA3R50,,
71D00,GBS,ZA3R50,,
71D10,GBS,ZA3R50,,
71D20,GBS,ZA3R50,,
71E00,GBS,ZA3R50,,
71F00,GBS,ZA3R50,,
72000,GBS,ZA3R50,,
72100,GBS,ZA3R50,,
72110,GBS,ZA3R50,,
72120,GBS,ZA3R50,,
72200,GBS,ZA3R50,,
72230,GBS,ZA3R50,,
72240,GBS,ZA3R50,,
72250,GBS,ZA3R50,,
7225A,GBS,ZA3R50,,
7226A,GBS,ZA3R50,,
72270,GBS,ZA3R50,,
72300,GBS,ZA3R50,,
72310,GBS,ZA3R50,,
72320,GBS,ZA3R50,,
72400,GBS,ZA3R50,,
72500,GBS,ZA3R50,,
7260A,GBS,ZA3R50,,
72900,GBS,ZA3R50,,
72J10,GBS,ZA3R50,,
72J20,GBS,ZA3R50,,
72J2H,GBS,ZA3R50,,
72J30,GBS,ZA3R50,,
73370,GBS,ZA3R50,,
73F6E,GBS,ZA3R50,,
74000,GBS,ZA3R50,,
74100,GBS,ZA3R50,,
74110,GBS,ZA3R50,,
7411H,GBS,ZA3R50,,
74120,GBS,ZA3R50,,
7412K,GBS,ZA3R50,,
74130,GBS,ZA3R50,,
7413H,GBS,ZA3R50,,
7413K,GBS,ZA3R50,,
74310,GBS,ZA3R50,,
74320,GBS,ZA3R50,,
7432H,GBS,ZA3R50,,
74330,GBS,ZA3R50,,
7433H,GBS,ZA3R50,,
74400,GBS,ZA3R50,,
74500,GBS,ZA3R50,,
74510,GBS,ZA3R50,,
74520,GBS,ZA3R50,,
